year,commune,department_name,department_number,region,beach_flag,port_flag,places
2024,MALAFRETAZ,AIN,1,AUVERGNE-RHÔNE-ALPES,1,0,Plage principale
2024,VIEURE,ALLIER,3,AUVERGNE-RHÔNE-ALPES,1,0,Plage du plan d'eau de Vieure
2024,SAINT-MARTIN-D'ARDÈCHE,ARDÈCHE,7,AUVERGNE-RHÔNE-ALPES,1,0,Plage du Grain de sel
2024,TRÉMOUILLE,CANTAL,15,AUVERGNE-RHÔNE-ALPES,1,0,Lastioulles
2024,VALENCE,DRÔME,26,AUVERGNE-RHÔNE-ALPES,0,1,Port de l'Épervière
2024,CHAMPAGNAC-LE-VIEUX,HAUTE-LOIRE,43,AUVERGNE-RHÔNE-ALPES,1,0,Plage du Plan d'eau
2024,LE BOUCHET-SAINT-NICOLAS,HAUTE-LOIRE,43,AUVERGNE-RHÔNE-ALPES,1,0,Plage du lac du Bouchet
2024,EVIAN-LES-BAINS,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,1,"Plage du Centre Nautique Evian, Port des Mouettes"
2024,NEUVECELLE,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,0,Grande Rive
2024,PUBLIER,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,0,Plage municipale Amphion-les-bains
2024,SAINT-GINGOLPH,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,0,Plage municipale
2024,SAINT-JORIOZ,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,0,Plage municipale
2024,SCIEZ,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,0,1,Port de Sciez
2024,SCIEZ-SUR-LEMAN,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,0,Sciez Municipale
2024,THONON-LES-BAINS,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,1,"Plage de Saint-Disdille, Plage du Centre Nautique, Port de plaisance de Rives"
2024,VEYRIER-DU-LAC,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,1,0,Plage La Brune
2024,YVOIRE,HAUTE-SAVOIE,74,AUVERGNE-RHÔNE-ALPES,0,1,Port de Nernier
2024,AUBUSSON D'AUVERGNE,PUY-DE-DÔME,63,AUVERGNE-RHÔNE-ALPES,1,0,Plage du lac d'Aubusson d'Auvergne
2024,AYDAT,PUY-DE-DÔME,63,AUVERGNE-RHÔNE-ALPES,1,0,Plage d'Aydat
2024,CHAMBON-SUR-LAC,PUY-DE-DÔME,63,AUVERGNE-RHÔNE-ALPES,1,0,Plage de Chambon
2024,COURNON D'AUVERGNE,PUY-DE-DÔME,63,AUVERGNE-RHÔNE-ALPES,1,0,Plan d'eau de Cournon d'Auvergne
2024,MUROL,PUY-DE-DÔME,63,AUVERGNE-RHÔNE-ALPES,1,0,Grande plage du lac Chambon de Murol
2024,SAINT-RÉMY-SUR-DUROLLE,PUY-DE-DÔME,63,AUVERGNE-RHÔNE-ALPES,1,0,Plan d'eau des Prades
2024,THIERS,PUY-DE-DÔME,63,AUVERGNE-RHÔNE-ALPES,1,0,Plan d'eau d'Iloa
2024,GRÉSY-SUR-ISÈRE,SAVOIE,73,AUVERGNE-RHÔNE-ALPES,1,0,Base de loisirs de Grésy-sur-Isère
